country,continent,year,le_gdp
Afghanistan,Asia,1952,28.801::779.4453145
Afghanistan,Asia,1957,30.332::820.8530296
Afghanistan,Asia,1962,31.997::853.10071
Afghanistan,Asia,1967,34.02::836.1971382
Afghanistan,Asia,1972,36.088::739.9811058
Afghanistan,Asia,1977,38.438::786.11336
Afghanistan,Asia,1982,39.854::978.0114388
Afghanistan,Asia,1987,40.822::852.3959448
Afghanistan,Asia,1992,41.674::649.3413952
Afghanistan,Asia,1997,41.763::635.341351
Afghanistan,Asia,2002,42.129::726.7340548
Afghanistan,Asia,2007,43.828::974.5803384
Albania,Europe,1952,55.23::1601.056136
Albania,Europe,1957,59.28::1942.284244
Albania,Europe,1962,64.82::2312.888958
Albania,Europe,1967,66.22::2760.196931
Albania,Europe,1972,67.69::3313.422188
Albania,Europe,1977,68.93::3533.00391
Albania,Europe,1982,70.42::3630.880722
Albania,Europe,1987,72::3738.932735
Albania,Europe,1992,71.581::2497.437901
Albania,Europe,1997,72.95::3193.054604
Albania,Europe,2002,75.651::4604.211737
Albania,Europe,2007,76.423::5937.029526
Algeria,Africa,1952,43.077::2449.008185
Algeria,Africa,1957,45.685::3013.976023
Algeria,Africa,1962,48.303::2550.81688
Algeria,Africa,1967,51.407::3246.991771
Algeria,Africa,1972,54.518::4182.663766
Algeria,Africa,1977,58.014::4910.416756
Algeria,Africa,1982,61.368::5745.160213
Algeria,Africa,1987,65.799::5681.358539
Algeria,Africa,1992,67.744::5023.216647
Algeria,Africa,1997,69.152::4797.295051
Algeria,Africa,2002,70.994::5288.040382
Algeria,Africa,2007,72.301::6223.367465
Angola,Africa,1952,30.015::3520.610273
Angola,Africa,1957,31.999::3827.940465
Angola,Africa,1962,34::4269.276742
Angola,Africa,1967,35.985::5522.776375
Angola,Africa,1972,37.928::5473.288005
Angola,Africa,1977,39.483::3008.647355
Angola,Africa,1982,39.942::2756.953672
Angola,Africa,1987,39.906::2430.208311
Angola,Africa,1992,40.647::2627.845685
Angola,Africa,1997,40.963::2277.140884
Angola,Africa,2002,41.003::2773.287312
Angola,Africa,2007,42.731::4797.231267
Argentina,Americas,1952,62.485::5911.315053
Argentina,Americas,1957,64.399::6856.856212
Argentina,Americas,1962,65.142::7133.166023
Argentina,Americas,1967,65.634::8052.953021
Argentina,Americas,1972,67.065::9443.038526
Argentina,Americas,1977,68.481::10079.02674
Argentina,Americas,1982,69.942::8997.897412
Argentina,Americas,1987,70.774::9139.671389
Argentina,Americas,1992,71.868::9308.41871
Argentina,Americas,1997,73.275::10967.28195
Argentina,Americas,2002,74.34::8797.640716
Argentina,Americas,2007,75.32::12779.37964
Australia,Oceania,1952,69.12::10039.59564
Australia,Oceania,1957,70.33::10949.64959
Australia,Oceania,1962,70.93::12217.22686
