country,who_region,year,incidence_100k,incidence_number,new_incidence_100k,case_detection_percent,continent,lifeExp,gdpPerCap,pop
Afghanistan,EMR,2002,189,42000,63,33,Asia,42.129,726.7340548,25268405
Afghanistan,EMR,2007,189,50000,108,57,Asia,43.828,974.5803384,31889923
Albania,EUR,2002,22,680,19,87,Europe,75.651,4604.211737,3508512
Albania,EUR,2007,17,500,14,87,Europe,76.423,5937.029526,3600523
Algeria,AFR,2002,74,24000,59,80,Africa,70.994,5288.040382,31287142
Algeria,AFR,2007,78,27000,62,80,Africa,72.301,6223.367465,33333216
Angola,AFR,2002,320,56000,171,53,Africa,41.003,2773.287312,10866106
Angola,AFR,2007,379,80000,197,52,Africa,42.731,4797.231267,12420476
Argentina,AMR,2002,35,13000,30,87,Americas,74.34,8797.640716,38331121
Argentina,AMR,2007,29,12000,26,87,Americas,75.32,12779.37964,40301927
Australia,WPR,2002,6,1200,5.2,87,Oceania,80.37,30687.75473,19546792
Australia,WPR,2007,6.1,1300,5.3,87,Oceania,81.235,34435.36744,20434176
Austria,EUR,2002,15,1200,13,87,Europe,78.98,32417.60769,8148312
Austria,EUR,2007,11,930,9.8,87,Europe,79.829,36126.4927,8199783
Bahrain,EMR,2002,30,220,26,87,Asia,74.795,23403.55927,656397
Bahrain,EMR,2007,33,340,29,87,Asia,75.635,29796.04834,708573
Bangladesh,SEA,2002,221,302000,61,28,Asia,62.013,1136.39043,135656790
Bangladesh,SEA,2007,221,325000,100,45,Asia,64.062,1391.253792,150448339
Belgium,EUR,2002,13,1400,12,87,Europe,78.32,30485.88375,10311970
Belgium,EUR,2007,10,1100,8.9,87,Europe,79.441,33692.60508,10392226
Benin,AFR,2002,80,5900,39,48,Africa,54.406,1372.877931,7026113
Benin,AFR,2007,69,5800,42,61,Africa,56.728,1441.284873,8078314
Bolivia,AMR,2002,173,15000,118,68,Americas,63.883,3413.26269,8445134
Bolivia,AMR,2007,148,14000,91,61,Americas,65.554,3822.137084,9119152
Bosnia and Herzegovina,EUR,2002,56,2100,45,80,Europe,74.09,6018.975239,4165416
Bosnia and Herzegovina,EUR,2007,79,3000,63,80,Europe,74.852,7446.298803,4552198
Botswana,AFR,2002,855,15000,573,67,Africa,46.634,11003.60508,1630347
Botswana,AFR,2007,641,12000,416,65,Africa,50.728,12569.85177,1639131
Brazil,AMR,2002,52,94000,45,87,Americas,71.006,8131.212843,179914212
Brazil,AMR,2007,45,87000,39,87,Americas,72.39,9065.800825,190010647
Bulgaria,EUR,2002,53,4200,42,80,Europe,72.14,7696.777725,7661799
Bulgaria,EUR,2007,47,3600,38,80,Europe,73.005,10680.79282,7322858
Burkina Faso,AFR,2002,67,8300,19,29,Africa,50.65,1037.645221,12251209
Burkina Faso,AFR,2007,62,8800,28,45,Africa,52.295,1217.032994,14326203
Burundi,AFR,2002,250,17000,95,38,Africa,47.36,446.4035126,7021078
Burundi,AFR,2007,169,13000,79,47,Africa,49.58,430.0706916,8390505
Cambodia,WPR,2002,556,70000,195,35,Asia,56.752,896.2260153,12926707
Cambodia,WPR,2007,480,66000,260,54,Asia,59.723,1713.778686,14131858
Cameroon,AFR,2002,321,52000,69,21,Africa,49.856,1934.011449,15929988
Cameroon,AFR,2007,292,54000,131,45,Africa,50.43,2042.09524,17696293
Canada,AMR,2002,6.1,1900,5.3,87,Americas,79.77,33328.96507,31902268
Canada,AMR,2007,5.3,1700,4.6,87,Americas,80.653,36319.23501,33390141
Central African Republic,AFR,2002,923,36000,124,13,Africa,43.308,738.6906068,4048013
Central African Republic,AFR,2007,561,24000,NA,NA,Africa,44.741,706.016537,4369038
Chad,AFR,2002,152,14000,56,37,Africa,50.525,1156.18186,8835739
Chad,AFR,2007,151,16000,55,36,Africa,50.651,1704.063724,10238807
Chile,AMR,2002,18,2800,16,87,Americas,77.86,10778.78385,15497046
Chile,AMR,2007,17,2800,15,87,Americas,78.553,13171.63885,16284741
China,WPR,2002,102,1320000,36,35,Asia,72.028,3119.280896,1280400000
China,WPR,2007,86,1150000,73,85,Asia,72.961,4959.114854,1318683096
"Hong Kong, China",WPR,2002,107,7200,93,87,Asia,81.495,30209.01516,6762476
"Hong Kong, China",WPR,2007,89,6200,78,87,Asia,82.208,39724.97867,6980412
Colombia,AMR,2002,34,14000,27,80,Americas,71.682,5755.259962,41008227
Colombia,AMR,2007,31,14000,25,80,Americas,72.889,7006.580419,44227550
Comoros,AFR,2002,37,210,19,52,Africa,62.974,1075.811558,614382
Comoros,AFR,2007,35,220,NA,NA,Africa,65.152,986.1478792,710960
"Congo, Rep.",AFR,2002,398,14000,290,73,Africa,52.97,3484.06197,3328795
"Congo, Rep.",AFR,2007,413,16000,226,55,Africa,55.322,3632.557798,3800610
Costa Rica,AMR,2002,17,680,13,80,Americas,78.123,7723.447195,3834934
Costa Rica,AMR,2007,16,690,13,80,Americas,78.782,9645.06142,4133884
Cote d'Ivoire,AFR,2002,330,57000,93,28,Africa,46.832,1648.800823,16252726
Cote d'Ivoire,AFR,2007,233,45000,121,52,Africa,48.328,1544.750112,18013409
Croatia,EUR,2002,38,1700,33,87,Europe,74.876,11628.38895,4481020
Croatia,EUR,2007,25,1100,22,87,Europe,75.748,14619.22272,4493312
Cuba,AMR,2002,9.2,1000,8,87,Americas,77.158,6340.646683,11226999
Cuba,AMR,2007,7.8,880,6.7,87,Americas,78.273,8948.102923,11416987
Czech Republic,EUR,2002,13,1300,11,87,Europe,75.51,17596.21022,10256295
Czech Republic,EUR,2007,8.8,910,7.6,87,Europe,76.486,22833.30851,10228744
"Korea, Dem. Rep.",SEA,2002,513,120000,172,34,Asia,66.662,1646.758151,22215365
"Korea, Dem. Rep.",SEA,2007,513,124000,243,47,Asia,67.297,1593.06548,23301725
"Congo, Dem. Rep.",AFR,2002,327,163000,141,43,Africa,44.966,241.1658765,55379852
"Congo, Dem. Rep.",AFR,2007,327,191000,171,52,Africa,46.462,277.5518587,64606759
Denmark,EUR,2002,8.6,460,7.5,87,Europe,77.18,32166.50006,5374693
Denmark,EUR,2007,7.5,410,6.5,87,Europe,78.332,35278.41874,5468120
Djibouti,EMR,2002,535,4000,428,80,Africa,53.373,1908.260867,447416
Djibouti,EMR,2007,493,4000,395,80,Africa,54.791,2082.481567,496374
Dominican Republic,AMR,2002,57,5100,46,80,Americas,70.847,4563.808154,8650322
Dominican Republic,AMR,2007,55,5200,44,80,Americas,72.235,6025.374752,9319622
Ecuador,AMR,2002,56,7300,45,80,Americas,74.173,5773.044512,12921234
Ecuador,AMR,2007,43,6100,34,80,Americas,74.994,6873.262326,13755680
Egypt,EMR,2002,24,17000,15,65,Africa,69.806,4754.604414,73312559
Egypt,EMR,2007,20,16000,12,62,Africa,71.338,5581.180998,80264543
El Salvador,AMR,2002,33,1900,26,80,Americas,70.734,5351.568666,6353681
El Salvador,AMR,2007,34,2100,27,80,Americas,71.878,5728.353514,6939688
Equatorial Guinea,AFR,2002,101,670,NA,NA,Africa,49.348,7703.4959,495627
Equatorial Guinea,AFR,2007,113,940,NA,NA,Africa,51.579,12154.08975,551201
Eritrea,AFR,2002,173,6200,78,45,Africa,55.24,765.3500015,4414865
Eritrea,AFR,2007,145,6000,88,61,Africa,58.04,641.3695236,4906585
Swaziland,AFR,2002,780,8400,624,80,Africa,43.869,4128.116943,1130269
Swaziland,AFR,2007,976,11000,781,80,Africa,39.613,4513.480643,1133066
Ethiopia,AFR,2002,393,277000,156,40,Africa,50.725,530.0535319,67946797
Ethiopia,AFR,2007,310,251000,159,51,Africa,52.947,690.8055759,76511887
Finland,EUR,2002,9.9,520,8.6,87,Europe,78.37,28204.59057,5193039
Finland,EUR,2007,6.5,340,5.7,87,Europe,79.313,33207.0844,5238460
France,EUR,2002,11,6900,9.5,83,Europe,79.59,28926.03234,59925035
France,EUR,2007,11,6600,8.8,83,Europe,80.657,30470.0167,61083916
Gabon,AFR,2002,574,7400,161,28,Africa,56.761,12521.71392,1299304
Gabon,AFR,2007,572,8500,253,44,Africa,56.735,13206.48452,1454867
Gambia,AFR,2002,192,2500,142,74,Africa,58.041,660.5855997,1457766
Gambia,AFR,2007,186,2900,123,66,Africa,59.448,752.7497265,1688359
Germany,EUR,2002,9.8,8000,8.5,87,Europe,78.67,30035.80198,82350671
Germany,EUR,2007,6.6,5400,5.7,87,Europe,79.406,32170.37442,82400996
Ghana,AFR,2002,212,42000,59,28,Africa,58.453,1111.984578,20550751
Ghana,AFR,2007,196,44000,56,29,Africa,60.022,1327.60891,22873338
Greece,EUR,2002,5.8,660,5.1,87,Europe,78.256,22514.2548,10603863
Greece,EUR,2007,6.2,710,5.4,87,Europe,79.483,27538.41188,10706290
Guatemala,AMR,2002,30,3600,24,80,Americas,68.978,4858.347495,11178650
